FileName,BPMN_Modeler,nTask,nTaskMultipleIstance,nTaskLoopActivity,nSendTask,nReceiveTask,nUserTask,nManualTask,nBusinessRuleTask,nServiceTask,nScriptTask,nCollapsedSubProcess,nExpandedSubProcess,nAdHocSubProcess,nTransaction,nCallActivity,nExclusiveGateway,nParallelGateway,nInclusiveGateway,nEventBasedGateway,nComplexGateway,nStartNoneEvent,nStartMultipleParallelEventDefinition,nStartMultipleEventDefinition,nStartSignalEventDefinition,nStartConditionalEventDefinition,nStartTimerEventDefinition,nStartMessageEventDefinition,nStartCompensateEventDefinition,nStartCancelEventDefinition,nStartEscalationEventDefinition,nStartErrorEventDefinition,nIntermediateCatchMultipleEventDefinition,nIntermediateCatchMultipleParallelEventDefinition,nIntermediateCatchMessageEventDefinition,nIntermediateCatchTimerEventDefinition,nIntermediateCatchConditionalEventDefinition,nIntermediateCatchLinkEventDefinition,nIntermediateCatchSignalEventDefinition,nIntermediateThrowNoneEvent,nIntermediateThrowMessageEventDefinition,nIntermediateThrowEscalationEventDefinition,nIntermediateThrowLinkEventDefinition,nIntermediateThrowSignalEventDefinition,nIntermediateThrowCompensateEventDefinition,nIntermediateThrowMultipleEventDefinition,nBoundaryMessageEvent,nBoundaryTimerEvent,nBoundaryCancelEvent,nBoundaryConditionalEvent,nBoundaryEscalationEvent,nBoundaryErrorEvent,nBoundarySignalEvent,nBoundaryCompensateEvent,nBoundaryTimerEventNonInt,nBoundaryEscalationEventNonInt,nBoundaryConditionalEventNonInt,nBoundaryMessageEventNonInt,nEndEventNone,nEndTerminateEventDefinition,nEndEscalationEventDefinition,nEndMessageEventDefinition,nEndErrorEventDefinition,nEndCompensateEventDefinition,nEndCancelEventDefinition,nEndSignalEventDefinition,nEndMultipleEventDefinition,nSequenceFlow,nDefaultFlow,nConditionalFlow,nMessageFlow,nAssociation,nPool,nLane,nDataObject,nDataStore,nGroup,nTextAnnotation,nMessage,nChoreographyTask,nChoreographyParticipant,nChoreographySubprocess,nConversation,nSubConversation,nCallConversation,nConversationLink,TotalElements
Credit-scoring-asynchronous_1.bpmn,Undefined,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,1,0,0,0,0,0,0,0,2,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,19,0,0,7,1,3,0,0,0,0,1,0,0,0,0,0,0,0,0,50
Credit-scoring-synchronous_1.bpmn,Undefined,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,16,0,0,6,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,41
Dispatch-of-goods_1.bpmn,Undefined,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,17,0,0,0,0,1,3,0,0,0,0,0,0,0,0,0,0,0,0,36
invoice_1.bpmn,Camunda,0,0,0,0,0,2,0,1,2,0,0,0,0,0,1,2,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,7,0,4,0,1,1,3,0,1,0,0,1,0,0,0,0,0,0,0,29
invoice_2.bpmn,Camunda,0,0,0,0,0,2,0,1,1,0,0,0,0,0,1,2,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,6,0,4,0,1,1,3,0,1,0,0,1,0,0,0,0,0,0,0,27
IT-help-desk-model_1.bpmn,Undefined,1,0,0,0,0,8,2,0,4,0,0,0,0,0,0,3,1,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,1,0,0,0,0,0,27,0,0,3,0,3,5,0,0,0,0,0,0,0,0,0,0,0,0,64
Recourse_1.bpmn,Undefined,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,20,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,41
ReviewInvoice_1.bpmn,Camunda,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7
Self-Service-Restaurant_1.bpmn,Undefined,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,2,0,0,0,0,0,0,3,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,28,0,0,10,1,3,0,0,0,0,1,0,0,0,0,0,0,0,0,73
